sl_id,sl_store,sl_address,sl_address2,sl_city,sl_state,sl_zip,sl_country,sl_latitude,sl_longitude,sl_tags,sl_description,sl_email,sl_url,sl_hours,sl_phone,sl_fax,sl_image
,Buckeye Check Cashing / Fast Cash 376,"4853 N. Broadway,Chicago,IL 60640",,,,,United States,41.9702222,-87.6589357,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-271-3595,,
,Centex C E,"1660 Greenleaf Ave Elk Grove Village, IL 60007",,,,,United States,42.0040149,-87.9607749,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,847-981-0405,,
,Central Evanston C E,"2608 Prairie Ave Evanston, IL 60201",,,,,United States,42.0645613,-87.7000787,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,847-328-7970,,
,Cermak And Laramie C E,"5140 W. Cermak Rd Cicero, IL 60804",,,,,United States,41.8512124,-87.7532318,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-652-0758,,
,Cermak Wabash,"2109 S. Wabash Ave Chicago, IL 60616",,,,,United States,41.853926,-87.625128,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-842-4910,,
,Chicago Municipal Employees C U,"18 S. Michigan Ave Ste#1000 Chicago IL, 60603",,,,,United States,41.88145,-87.6246817,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-372-6930,,
,Chicago Municipal Employees C U Division,"4909 W. Divison St Chicago, IL 60651",,,,,United States,41.9022957,-87.7492575,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-236-2326,,
,Chicago Ridge C E,"10405 S. Ridgeland Ave Chicago Ridge, IL 60415",,,,,United States,41.7031005,-87.7792453,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-499-2790,,
,Clark Diversey C E,"2735 N. Clark St Chicago, IL 60614",,,,,United States,41.9323966,-87.6445822,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-348-5474,,
,Clearing C E,"6401 S. Central Ave Chicago, IL 60638",,,,,United States,41.776044,-87.761265,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-767-0022,,
,Community Savings Bank,"4801 W.Belmont Ave. Chicago IL, 60641",,,,,United States,41.9387124,-87.747146,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-685-5300,,
,Connolly C E Inc,"558 W. 37th St Chicago, IL 60609",,,,,United States,41.8272805,-87.6410067,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-373-7210,,
,Cottage 47th C E,"4638 S. Cottage Grove Ave Chicago, IL 60653",,,,,United States,41.810154,-87.606977,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-624-3600,,
,Cottage Grove  93rd C E Inc,"9301 S. Cottage Grove Ave Chicago, IL 60619",,,,,United States,41.725552,-87.60414,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-723-7020,,
,Crestwood C E,"13142 S. Cicero Ave Crestwood, IL 60445",,,,,United States,41.6524272,-87.7390225,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-385-4757,,
,Currency Exchange Of South Holland,"1052 E. 162nd St South Holland, IL 60473",,,,,United States,41.600829,-87.591504,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-596-7171,,
,Dempster Landings C E,"2606 E. Dempster St Park Ridge, IL 60068",,,,,United States,42.039551,-87.8589367,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,847-544-7800,,
,Diversey Southport C E,"1356 W. Diversey Pkwy Chicago, IL 60614",,,,,United States,41.932618,-87.6633735,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-248-6224,,
,Division Clark C E,"113 W. Division St Chicago, IL 60610",,,,,United States,41.9037818,-87.632119,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-642-5580,,
,E L S Titles,"200 E. Howard Ave Suite 216, Des Plaines, IL 60018",,,,,United States,42.016492,-87.916467,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-281-5600,,
,East Side C E,"10108 S. Ewing Ave Chicago, IL 60617",,,,,United States,41.7116092,-87.5352946,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-375-2398,,
,Economy C E,"721 W. Armitage Ave Chicago, IL 60614",,,,,United States,41.918054,-87.64699,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-266-8040,,
,Elmwood Park C E,"7300 W. Grand Ave Elmwood Park, IL 60707",,,,,United States,41.924672,-87.808893,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-453-7234,,
,First Eagle Bank  Chicago Branch,"1201 W. Madison St Chicago, IL 60607",,,,,United States,41.881329,-87.657437,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,630-893-3800,,
,Foster Park C E Inc,"8259 S. Ashland Ave Chicago, IL 60620",,,,,United States,41.743249,-87.6628659,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-723-7500,,
,Fullerton Cicero C E,"4749 W. Fullerton Ave Chicago, IL 60639",,,,,United States,41.9241778,-87.7455142,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-237-8777,,
,Gallardo One Stop Services,"5306 S. Pulaski Rd Chicago, IL 60632",,,,,United States,41.7968016,-87.7235003,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-582-8840,,
,Garfield Ashland CE,"5508 South Ashland, Chicago, IL 60636",,,,,United States,41.793275,-87.6647271,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-424-3388,,
,Garfield Dan Ryan C E,"148 W. Garfield Blvd Chicago, IL 60609",,,,,United States,41.7951379,-87.6298379,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-268-8400,,
,Garfield Halsted C E,"756 W. Garfield Blvd. Chicago, IL 60609",,,,,United States,41.7943358,-87.6444728,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-597-1000,,
,Garfield Park C E,"2848 W.Madison Chicago IL, 60612",,,,,United States,41.881067,-87.6977051,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-722-2211,,
,Grand Plaza C E,"2633 Mannheim Rd Franklin Park, IL 60131",,,,,United States,41.927079,-87.884025,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,847-455-5667,,
,Grand York C E,"101 W. Grand Ave Bensenville, IL 60106",,,,,United States,41.9313109,-87.9420777,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,630-595-0777,,
,Granville And Broadway C E D,"6165 N. Broadway St Chicago, IL 60660",,,,,United States,41.9940893,-87.6603955,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-262-2351,,
,Great Lakes C E Inc,"832 W. Fullerton Ave Chicago, IL 60614",,,,,United States,41.9256568,-87.6501481,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-549-0340,,
,Halsted And 119th C E,"11932 S. Halsted St Chicago, IL 60628",,,,,United States,41.676808,-87.642253,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-785-3141,,
,Halsted And 69th C E Inc,"6903 S. Halsted St Chicago, IL 60621",,,,,United States,41.7686961,-87.6444955,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-224-5459,,
,Harlem And Archer C E,"5739 S. Harlem Ave Chicago, IL 60638",,,,,United States,41.7872266,-87.8009964,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-586-2134,,
,Harlem And Milwaukee C E,"7519 N. Milwaukee Ave Niles, IL 60714",,,,,United States,42.017756,-87.806079,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,847-647-8366,,
,Harlem And Roosevelt C E,"7207 Roosevelt Rd Forest Park, IL 60130",,,,,United States,41.865277,-87.804701,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-771-5540,,
,Harlem Irving C E,"4106 N. Harlem Ave. Norridge IL,  60706",,,,,United States,41.9539303,-87.8073577,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-453-6640,,
,Harrison Kedzie C E,"725 S. Kedzie Ave Chicago, IL 60612",,,,,United States,41.872017,-87.705472,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-722-2658,,
,Hegewisch C E Inc,"13412 S. Brandon Ave Chicago, IL 60633",,,,,United States,41.651375,-87.546271,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-646-0555,,
,Hispana Multiservices,"8307 S. Pulaski Rd. Chicago IL,  60652",,,,,United States,41.7419117,-87.7214751,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-582-5008,,
,Howard Western C E,"7537 N. Western Ave Chicago, IL 60645",,,,,United States,42.0184939,-87.689787,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-973-2800,,
,Hyde Park C E,"1371A E. 53rd St Chicago, IL 60615",,,,,United States,41.799196,-87.592341,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-752-5000,,
,Illinois Center C E,"100 W. Randolph St Chicago, IL 60601",,,,,United States,41.8848512,-87.6317268,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-236-4811,,
,Internetsuperstar,"6805 N. Sheridan Ave. Chicago, IL 60625",,,,,United States,42.0057745,-87.6607361,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-465-4616,,
,Irving Cicero C E,"4814 W. Irving Park Rd Chicago, IL 60641",,,,,United States,41.9534089,-87.7481334,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-286-4142,,
,Irving Elston C E,"3619-23 W. Irving Park Rd Chicago, IL 60618",,,,,United States,41.9537133,-87.7186969,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-463-5986,,
,Irving Ravenswood C E,"1821 W. Irving Park Rd Chicago, IL 60613",,,,,United States,41.9540571,-87.6752021,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-935-8716,,
,J P Casa De Cambio  12255,"12255 S. Western Ave. Blue Island IL,  60406",,,,,United States,,,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-389-7675,,
,J P Casa De Cambio  1638,"1638 W. Chicago Ave. Chicago IL,  60622",,,,,United States,41.8961727,-87.6688564,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-733-6657,,
,J P Casa De Cambio  1700,"1700 W. 47th St. Chicago IL,  60609",,,,,United States,41.8085855,-87.6674171,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-376-0332,,
,J P Casa De Cambio  2803,"2803 W. Cermak Rd. Chicago IL,  60623",,,,,United States,41.8516369,-87.695697,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-247-3287,,
,J P Casa De Cambio  2805,"2805 W. 55th St. Chicago, IL 60632",,,,,United States,41.7934259,-87.69403,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-737-9726,,
,J P Casa De Cambio  3404,"3404 W. 26th St. Chicago IL,  60623",,,,,United States,41.8444614,-87.7101343,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-762-0004,,
,J P Casa De Cambio  3645,3645 E. 106th St. Chicago IL 60617,,,,,United States,41.7027038,-87.5347282,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-768-3137,,
,J P Casa De Cambio  3924,"3924 W. 26th St. Chicago IL,  60623",,,,,United States,41.8442854,-87.7231048,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-257-0196,,
,J P Casa De Cambio  5049,"5049 W. Fullerton Ave. Chicago IL,  60639",,,,,United States,41.9240154,-87.7530651,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-637-6026,,
,J P Casa De Cambio  6728,"6728 N. Clark St. Chicago IL,  60626",,,,,United States,42.0043204,-87.6727592,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-465-4498,,
,J P Casa De Cambio  7060,"7060 N. Clark St. Chicago IL,  60626",,,,,United States,42.010814,-87.674665,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-764-9872,,
,J P Currency,"3958 W. Jackson Blvd Chicago, IL 60624",,,,,United States,41.8771081,-87.7253417,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-638-1178,,
,Jackson State C E,"16 W. Jackson Blvd Chicago, IL 60604",,,,,United States,41.878391,-87.628348,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-939-1088,,
,Jarvis Greenview C E,"7358 N. Greenview Ave Chicago, IL 60626",,,,,United States,42.0153221,-87.6681562,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-381-1600,,
,Jewel Osco 2500 Canal Street,"1340 S Canal Street Chicago, IL  60607",,,,,United States,41.8648652,-87.639266,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-850-3915,,
,Jewel Osco 2501 Glenview,"1340 Patriot Blvd  Glenview, IL  60025",,,,,United States,42.078528,-87.818797,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,847-657-3124,,
,Jewel Osco 2502 Clybourn,"2550 N Clybourn Ave  Chicago, IL  60614",,,,,United States,41.9276286,-87.6745172,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-935-5777,,
,Jewel Osco 2503 Homer Glen,"14200 South Bell Road  Homer Glen, IL  60491",,,,,United States,41.6303163,-87.9311791,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-301-3418,,
,Justice C E,"8009 W. 79th St Justice, IL 60458",,,,,United States,41.7475367,-87.8215649,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-496-1500,,
,Kedzie And Lawrence C E,"4752 N. Kedzie Ave Chicago, IL 60625",,,,,United States,41.9682911,-87.7088144,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-539-9561,,
,Kedzie Irving 24 Hr C E Inc,"3158 W. Irving Park Rd Chicago, IL 60618",,,,,United States,41.9541058,-87.7078447,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-539-8991,,
,Kedzie Ogden C E,"3160 W. Ogden Ave Chicago, IL 60623",,,,,United States,41.8546459,-87.7141523,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-762-5873,,
,Kimball And North C E,"3401 W. North Ave Chicago, IL 60647",,,,,United States,41.909783,-87.712154,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-772-2188,,
,Kimball Lawrence C E Inc,"3421 W. Lawrence Ave Chicago, IL 60625",,,,,United States,41.9683887,-87.7142805,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-267-4600,,
,Lake Bluff C E Inc,"1251 Skokie Hwy Unit E Lake Bluff, IL 60044",,,,,United States,42.3029328,-87.8751186,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,847-473-2432,,
,Lake Cook Road C E,"1041 E. Lake Cook Rd Wheeling, IL 60090",,,,,United States,42.1530888,-87.9415439,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,847-520-2929,,
,Lansing 24 Hr C E Inc,"17250 S. Torrence Ave Lansing, IL 60438",,,,,United States,41.5814042,-87.5591124,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-895-7887,,
,Lasalle Chicago 24 Hr C E Inc,"777 N. LaSalle St Chicago, IL 60610",,,,,United States,41.896452,-87.6324329,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-642-0220,,
,Lawrence Ashland C E,"1620 W. Lawrence Ave Chicago, IL 60640",,,,,United States,41.969168,-87.670376,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-275-1585,,
,Lawrence Cumberland C E Inc,"4821 N. Cumberland Ave Norridge, IL 60706",,,,,United States,41.9670614,-87.8364529,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-456-7404,,
,Lawrence Sheridan C E Inc,"4812 N. Sheridan Rd Chicago, IL 60640",,,,,United States,41.9695357,-87.654835,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-561-2774,,
,Lee Street C E,1528 S. Lee St Desplaines IL 60018,,,,,United States,42.0266534,-87.8944193,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,847-299-3730,,
,Loop Currency Exchange,"205 W. Randolph St Chicago, IL 60606",,,,,United States,41.8842457,-87.6341702,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-372-7748,,
,Madison And Pulaski C E,"3938 W. Madison St Chicago, IL 60624",,,,,United States,41.881057,-87.724698,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-722-6100,,
,Madison Austin C E,"2 W. Madison St Oak Park, IL 60302",,,,,United States,41.880425,-87.774861,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-386-0573,,
,Madison Harlem C E,"1147 W. Madison St Oak Park, IL 60304",,,,,United States,41.879617,-87.8037814,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-366-2885,,
,Madison Laramie C E,"5146 W. Madison St Chicago, IL 60644",,,,,United States,41.880421,-87.7544001,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-261-0340,,
,Mannheim And Touhy C E,"7068 N. Mannheim Rd Rosemont, IL 60018",,,,,United States,42.0067622,-87.8849888,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,847-824-1211,,
,Marias State Client Services,"4425 W. Fullerton Ave Chicago, IL 60639",,,,,United States,41.9241743,-87.7376008,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-252-3311,,
,Melrose Park C E Inc,"1380 Winston Plaza Dr Melrose Park, IL 60160",,,,,United States,41.9005865,-87.8567276,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-681-3030,,
,Melrose Village C E,"2225 W. North Ave Unit J Melrose Park, IL 60160",,,,,United States,41.9087617,-87.861323,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-345-3345,,
,Mid City C E,"3565 W. Armitage Ave Chicago, IL 60647",,,,,United States,41.9169989,-87.716054,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-342-5643,,
,Milwaukee California C E Inc,"2301 N. Milwaukee Ave Chicago, IL 60647",,,,,United States,41.9229155,-87.6973692,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-772-2392,,
,Milwaukee Dundee C E,"70 S. Milwaukee Ave Wheeling, IL 60090",,,,,United States,42.1385505,-87.9071223,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,224-676-7600,,
,Montrose Kimball Financial Center,"3354 W. Montrose Chicago, IL 60618",,,,,United States,41.9612095,-87.7127544,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-478-6636,,
,Montrose Ravenswood C E,"1808 W. Montrose Ave Chicago, IL 60613",,,,,United States,41.9616116,-87.6749247,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-275-8288,,
,New 111th And Western C E,"11230 1/2 S. Western Ave Chicago, IL 60643",,,,,United States,41.688871,-87.681477,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-233-3610,,
,New 112th And Vincennes C E,"11207 S. Vincennes Ave Chicago, IL 60643",,,,,United States,41.6898079,-87.6647906,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-239-1700,,
,New 18th And Blue Island C E Inc,"1825 S. Blue Island Ave Chicago, IL 60608",,,,,United States,41.857053,-87.661509,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-666-9670,,
,New 31st And Kedzie C E,"3045 S. Kedzie Ave. Chicago, IL 60623",,,,,United States,41.837703,-87.704485,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-927-3655,,
,New 35th And Indiana C E Inc,"126 E. 35th St Chicago, IL 60616",,,,,United States,41.8310467,-87.6223517,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-225-6722,,
,New 47th And Lake Park C E,"1400 E. 47th St Unit H Chicago, IL 60653",,,,,United States,41.8096904,-87.5925059,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-536-6231,,
,New 71st And Indiana C E,"201 E. 71st St Chicago, IL 60619",,,,,United States,41.7654376,-87.6197676,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-224-4445,,
,New 75th And Cottage C E,"801 E. 75th St Chicago, IL 60619",,,,,United States,41.758381,-87.604994,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-783-4300,,
,New 75th And Exchange C E Inc,"2640 E. 75th St Chicago, IL 60649",,,,,United States,41.759359,-87.560093,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-721-8400,,
,New 79th And Jeffery C E,"1955 E. 79th St Chicago, IL 60649",,,,,United States,41.7515044,-87.576324,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-374-3206,,
,New 79th And Kedzie C E,"3247 W. 79th St Chicago, IL 60652",,,,,United States,41.749509,-87.704326,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-778-4844,,
,New 79th And Rhodes C E,"531 E. 79th St Chicago, IL 60619",,,,,United States,41.7510901,-87.6114073,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-224-7777,,
,New 87th And Stony Island Ave C E,"8625 S. Stony Island Ave Chicago, IL 60617",,,,,United States,41.737967,-87.58487,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-374-2900,,
,New 95th And Jeffrey C E,"1947 E. 95th St Chicago, IL 60617",,,,,United States,41.722128,-87.5763939,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-221-4632,,
,New Alsip C E,"11527 S. Pulaski Rd Alsip, IL 60803",,,,,United States,41.6828485,-87.7199895,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-389-5802,,
,New Archer Halsted C E,"2514 S. Halsted St Chicago, IL 60608",,,,,United States,41.8467446,-87.6466673,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-842-0233,,
,New Archer Nash C E,"6611 W. Archer Ave Chicago, IL 60638",,,,,United States,41.792112,-87.7872283,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-586-2135,,
,New Blue Island C E,"12956 S. Western Ave Blue Island, IL 60406",,,,,United States,41.6391535,-87.6790755,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-388-0358,,
,New Brickyard C E,"2841 B N. Narragansett Ave Chicago, IL 60634",,,,,United States,41.9317741,-87.7855592,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-237-0999,,
,New Broadway Montrose C E,"1002 W. Montrose Ave Chicago, IL 60613",,,,,United States,41.9617972,-87.6548173,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-561-0560,,
